Size	   Bubble Sort	Selection Sort	Insertion Sort
50	62704.926	41401.496	33311.914
100	51950.887	15861.295	95265.94
150	94459.52	30363.695	19167.945
200	144567.27	43865.55	23637.25
250	232400.56	69636.16	38673.01
300	321528.9	91628.69	49595.67
350	435130.9	122856.38	66022.27
400	546164.5	154179.94	82995.016
450	682900.06	185633.77	101279.86
500	840992.8	225962.12	127114.5
550	1021457.8	276628.8	157574.11
600	1197495.9	319468.1	177996.38
650	1428782.5	379035.03	210890.23
700	1655473.5	435800.97	243592.08
750	1862858.4	491772.9	271165.28
800	2143037.2	553005.8	315007.4
850	2394769.0	625547.4	349827.7
900	2684558.0	695232.9	392142.12
950	2991289.0	762603.6	433230.16
1000	3337635.0	838381.94	482313.75
