Size	   Bubble Sort	Selection Sort	Insertion Sort
50	78235.6	42022.35	37100.7
100	50986.555	20991.904	143274.42
150	92609.98	31430.355	59216.94
200	143536.81	45318.31	23246.9
250	220643.9	67423.86	35076.21
300	324466.6	96799.8	49977.5
350	427644.9	124535.18	65019.645
400	550877.0	159193.38	83632.91
450	733948.6	213823.58	111594.46
500	900047.75	257507.78	136878.64
550	1027734.25	286988.28	150139.48
600	1221973.5	336054.8	177469.52
650	1423852.6	391606.8	210868.88
700	1663188.6	454938.84	241416.12
750	1906408.0	516095.44	279009.62
800	2165656.8	584150.3	310572.25
850	2430644.8	655490.8	346992.38
900	2739521.2	729133.8	387694.28
950	3055216.2	824645.25	436568.84
1000	3420179.8	907463.1	478160.3
